epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,13934.1,0.28709,0.32698,0.94784,0.93952,0.8825,0.9277,0.82608,0.49993,0.49853,0.96427,4.28777e-05,4.28777e-05,4.28777e-05
108,14065.7,0.28856,0.32518,0.94738,0.94385,0.87969,0.92806,0.82616,0.49939,0.49561,0.96288,3.83925e-05,3.83925e-05,3.83925e-05
109,14197.2,0.28967,0.33035,0.94942,0.9247,0.89302,0.92851,0.82628,0.49859,0.49382,0.96255,3.4227e-05,3.4227e-05,3.4227e-05
110,14329,0.2858,0.32393,0.94614,0.91044,0.90616,0.92845,0.82551,0.49908,0.49362,0.96384,3.03842e-05,3.03842e-05,3.03842e-05
111,14451.6,0.24847,0.24889,0.92463,0.92912,0.90007,0.92814,0.82505,0.50057,0.48982,0.96583,2.68667e-05,2.68667e-05,2.68667e-05
112,14574,0.24289,0.23611,0.92309,0.93369,0.90002,0.92818,0.82337,0.49951,0.48653,0.96572,2.36769e-05,2.36769e-05,2.36769e-05
113,14696.7,0.24133,0.23207,0.92006,0.93397,0.89753,0.92762,0.82459,0.49929,0.48647,0.96706,2.08169e-05,2.08169e-05,2.08169e-05
114,14819.2,0.23711,0.23276,0.91398,0.93334,0.89843,0.92737,0.82573,0.50021,0.48685,0.96936,1.82888e-05,1.82888e-05,1.82888e-05
115,14941.9,0.23777,0.22681,0.91489,0.9353,0.89766,0.92695,0.82507,0.50159,0.4878,0.97138,1.60943e-05,1.60943e-05,1.60943e-05
116,15064,0.23603,0.22362,0.91785,0.9349,0.89874,0.92739,0.82375,0.50203,0.48712,0.97268,1.42348e-05,1.42348e-05,1.42348e-05
117,15186.4,0.23588,0.2211,0.91395,0.93587,0.89884,0.92732,0.82387,0.50233,0.4863,0.97343,1.27117e-05,1.27117e-05,1.27117e-05
118,15308.7,0.23368,0.22012,0.91346,0.93328,0.89933,0.92705,0.8245,0.50273,0.48627,0.97423,1.15259e-05,1.15259e-05,1.15259e-05
119,15431.9,0.235,0.22437,0.91791,0.93254,0.89887,0.92688,0.82446,0.50203,0.48658,0.97376,1.06784e-05,1.06784e-05,1.06784e-05
120,15555.9,0.23522,0.22154,0.91225,0.93472,0.89629,0.927,0.82506,0.50153,0.48614,0.97369,1.01696e-05,1.01696e-05,1.01696e-05
