epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,4290.9,0.27571,0.33668,0.93562,0.97771,0.95735,0.974,0.88137,0.46837,0.35804,0.92032,0.000327608,0.000327608,0.000327608
76,4348.41,0.27076,0.32709,0.93204,0.96921,0.95811,0.97628,0.87825,0.47543,0.37135,0.92668,0.000315572,0.000315572,0.000315572
77,4405.19,0.27343,0.32668,0.93286,0.96711,0.96205,0.97933,0.88834,0.4624,0.35584,0.91336,0.000303665,0.000303665,0.000303665
78,4461.45,0.26668,0.32305,0.93403,0.98074,0.9453,0.97838,0.88812,0.46987,0.36011,0.92336,0.000291897,0.000291897,0.000291897
79,4517.56,0.26425,0.31993,0.92969,0.98445,0.95501,0.98113,0.88907,0.45363,0.34389,0.90909,0.000280275,0.000280275,0.000280275
80,4573.97,0.26442,0.32049,0.93016,0.98333,0.96084,0.98001,0.88793,0.45773,0.34679,0.91619,0.000268806,0.000268806,0.000268806
81,4630.12,0.2601,0.31369,0.92756,0.97315,0.96451,0.97833,0.88516,0.46081,0.34585,0.91545,0.0002575,0.0002575,0.0002575
82,4687.04,0.26261,0.31565,0.92767,0.97153,0.95575,0.97735,0.88948,0.45778,0.36056,0.91009,0.000246363,0.000246363,0.000246363
83,4743.71,0.25986,0.30328,0.92374,0.97939,0.96389,0.9767,0.8843,0.46329,0.34856,0.92035,0.000235404,0.000235404,0.000235404
84,4800.17,0.25525,0.30705,0.9271,0.96867,0.96233,0.97781,0.88268,0.47094,0.35626,0.92348,0.000224629,0.000224629,0.000224629
85,4856.61,0.25426,0.30451,0.92317,0.97096,0.96198,0.97583,0.884,0.46893,0.35632,0.92032,0.000214046,0.000214046,0.000214046
86,4913.16,inf,0.30709,0.92871,0.98334,0.94994,0.97631,0.8912,0.46254,0.3546,0.91766,0.000203663,0.000203663,0.000203663
87,4969.55,0.25539,0.30279,0.92712,0.98089,0.95541,0.97587,0.89178,0.45543,0.35095,0.90647,0.000193486,0.000193486,0.000193486
88,5026.03,0.25542,0.29687,0.92479,0.97026,0.96114,0.97599,0.88775,0.45956,0.35532,0.91154,0.000183523,0.000183523,0.000183523
89,5083.44,0.24832,0.29462,0.92103,0.97797,0.95712,0.97401,0.88306,0.46322,0.36195,0.91398,0.00017378,0.00017378,0.00017378
90,5140.28,0.24841,0.2941,0.92246,0.97982,0.95327,0.97539,0.88806,0.46243,0.36158,0.90989,0.000164264,0.000164264,0.000164264
